name,lat,lon,date_bce,circle_pos,cluster,source,is_monumental,type
Indoi,27.0724850325,68.6999039575,-550,327.01493699056914,Indus Valley,pleiades,False,"label, people"
Kamigara,27.689213,68.849077,-30,327.0294760795772,Indus Valley,pleiades,False,settlement
Moenjodaro,27.325412,68.13774115,-3000,327.55967114069017,Indus Valley,pleiades,False,"settlement, archaeological-site"
Mesae,27.5509561185,67.9723622822,-30,327.75378019832215,Indus Valley,pleiades,False,"label, people"
Silae,27.3535410245,67.7190519659,-30,327.92834138021124,Indus Valley,pleiades,False,"label, people"
Chaarene/Arana,28.0318591443,64.9552830701,-330,330.4638261299808,Indus Valley,pleiades,False,"region, label"
Bam,29.1155957325,58.3689535049,-1200,336.34749830512476,Iran / Persia,pleiades,False,settlement
Tal-i-iblis,29.784054,56.758976,-6200,337.829639450184,Iran / Persia,pleiades,False,"settlement, tell"
Shiragan/Sirjan,29.436543,55.668645,300,338.72461551610377,Iran / Persia,pleiades,False,settlement
Qadamgah,29.688297,53.131556,-550,340.94569261332026,Iran / Persia,pleiades,True,temple
Tall-i Takht (Throne Hill),30.2077698,53.1846882,-540,340.9535449512355,Iran / Persia,pleiades,False,"hill, fort"
Pasargades,30.2,53.1794,-6381,340.9572868203486,Iran / Persia,p3k14c,False,radiocarbon
Tang-e Bolaghi,30.2033,53.179,-6958,340.95797207180976,Iran / Persia,p3k14c,False,radiocarbon
Tang-e Bolaghi,30.2033,53.179,-7806,340.95797207180976,Iran / Persia,p3k14c,False,radiocarbon
Tang-e Bolaghi,30.2033,53.179,-8562,340.95797207180976,Iran / Persia,p3k14c,False,radiocarbon
Tang-e Bolaghi,30.2033,53.179,-8809,340.95797207180976,Iran / Persia,p3k14c,False,radiocarbon
"Residential Palace (""P"")",30.2027118025,53.1779434649,-540,340.9588194591421,Iran / Persia,pleiades,False,architecturalcomplex
Pasargadae/Batrakatash,30.1952191647,53.1743200402,-550,340.96115948014096,Iran / Persia,pleiades,False,"settlement, archaeological-site"
Gabr-i Mader-i Soleiman,30.1939210487,53.1672049307,-750,340.9671422357118,Iran / Persia,pleiades,True,tomb
Tomb of Cyrus the Great,30.193953153,53.1671882886,-540,340.96715986122115,Iran / Persia,pleiades,True,tomb
Rahmatabad,30.109722,53.047222,-6624,341.0616850206188,Iran / Persia,p3k14c,False,radiocarbon
Rahmatabad,30.109722,53.047222,-6732,341.0616850206188,Iran / Persia,p3k14c,False,radiocarbon
Rahmatabad,30.109722,53.047222,-6359,341.0616850206188,Iran / Persia,p3k14c,False,radiocarbon
Rahmatabad,30.109722,53.047222,-6465,341.0616850206188,Iran / Persia,p3k14c,False,radiocarbon
Rahmatabad,30.109722,53.047222,-4242,341.0616850206188,Iran / Persia,p3k14c,False,radiocarbon
Rahmatabad,30.109722,53.047222,-5625,341.0616850206188,Iran / Persia,p3k14c,False,radiocarbon
Rahmatabad,30.109722,53.047222,-6408,341.0616850206188,Iran / Persia,p3k14c,False,radiocarbon
Rahmatabad,30.109722,53.047222,-6235,341.0616850206188,Iran / Persia,p3k14c,False,radiocarbon
Pulvar/Araxes? (river),30.2051597877,53.0448189596,-550,341.07351545505094,Iran / Persia,pleiades,False,river
Saidun,29.97035,53.016334,-550,341.07404365142395,Iran / Persia,pleiades,False,settlement
Maqsudabad,29.804928,52.981765,-30,341.0870037632815,Iran / Persia,pleiades,True,temple
Akhur-i Rustam,29.86553,52.948606,-30,341.12177623173375,Iran / Persia,pleiades,False,cemetery
Tall-i Jari B,29.840099,52.942056,-5547,341.12484834212285,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Jari B,29.840099,52.942056,-5216,341.12484834212285,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Jari B,29.840099,52.942056,-5497,341.12484834212285,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Jari B,29.840099,52.942056,-5681,341.12484834212285,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Jari B,29.840099,52.942056,-5511,341.12484834212285,Iran / Persia,p3k14c,False,radiocarbon
Tal-i Jari A,29.840925,52.939567,-4582,341.1270799581771,Iran / Persia,p3k14c,False,radiocarbon
Tal-i Jari A,29.840925,52.939567,-4464,341.1270799581771,Iran / Persia,p3k14c,False,radiocarbon
Tal-i Jari A,29.840925,52.939567,-4291,341.1270799581771,Iran / Persia,p3k14c,False,radiocarbon
Tall-i-Gap,29.8417567,52.9382753,-6500,341.12827892841074,Iran / Persia,pleiades,False,"settlement, tell"
Mushki,29.854505,52.938554,-7131,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Mushki,29.854505,52.938554,-1740,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5652,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5803,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5851,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5814,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5819,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5760,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5760,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5716,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Mushki,29.854505,52.938554,-5652,341.1293307366792,Iran / Persia,p3k14c,False,radiocarbon
Gap A,29.72,52.92,-4140,341.1317263500987,Iran / Persia,p3k14c,False,radiocarbon
Gap A,29.72,52.92,-3675,341.1317263500987,Iran / Persia,p3k14c,False,radiocarbon
Hajjiabad,29.976348,52.926209,-30,341.1523207769794,Iran / Persia,pleiades,True,temple
Mushki,29.78,52.9,-5144,341.15506880148007,Iran / Persia,p3k14c,False,radiocarbon
Darre-ye Barre,29.96008,52.915364,-30,341.1600209939404,Iran / Persia,pleiades,True,temple
(I)Stakhr,29.980833,52.909444,-30,341.1672221938794,Iran / Persia,pleiades,False,settlement
Sivand,30.079211,52.920871,-550,341.16733276025866,Iran / Persia,pleiades,False,quarry
Firuzi 2/Matezzish?/Humadeshu?/Uvadaichaya?,29.933733,52.893943,-550,341.17582390516657,Iran / Persia,pleiades,False,settlement
Dasht-i Gohar/Takht-i Rustam,29.928621,52.89269,-550,341.1763880239239,Iran / Persia,pleiades,False,settlement
Tomb of Artaxerxes III,29.935871634,52.892457868,-540,341.1773202949687,Iran / Persia,pleiades,True,tomb
Tall-i Bakun B,29.91306,52.888403,-4533,341.17851366448417,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Bakun B,29.91306,52.888403,-4453,341.17851366448417,Iran / Persia,p3k14c,False,radiocarbon
Bakun B,29.91306,52.888403,-4269,341.17851366448417,Iran / Persia,p3k14c,False,radiocarbon
Bakun B,29.91306,52.888403,-4546,341.17851366448417,Iran / Persia,p3k14c,False,radiocarbon
Tall-e Bakun B,29.9130188425,52.8883692312,-6500,341.1785386309032,Iran / Persia,pleiades,False,settlement
Persepolis/Parsa/Persai/Sat Setun,29.9351972978,52.8904279399,-550,341.1790023360011,Iran / Persia,pleiades,False,"settlement, archaeological-site"
Apadana Palace,29.9351174422,52.8894969374,-540,341.1797969527263,Iran / Persia,pleiades,False,"palace-complex, architecturalcomplex"
Tall-i Bakun A,29.913654,52.885685,-3375,341.18091749851123,Iran / Persia,p3k14c,False,radiocarbon
Tall-i Bakun A,29.913654,52.885685,-3805,341.18091749851123,Iran / Persia,p3k14c,False,radiocarbon
