epoch,ra,dec,celestial_pole_ra,celestial_pole_dec
-100,235.337,51.877,193.461,78.364
0,234.659,52.201,192.818,78.911
100,233.981,52.53,192.175,79.459
200,233.305,52.864,191.532,80.008
300,232.63,53.204,190.89,80.558
400,231.957,53.548,190.248,81.109
500,231.284,53.897,189.606,81.661
600,230.613,54.25,188.965,82.214
700,229.943,54.609,188.324,82.768
800,229.275,54.972,187.683,83.322
900,228.608,55.34,187.042,83.877
1000,227.942,55.713,186.402,84.432
1100,227.277,56.09,185.761,84.988
1200,226.614,56.472,185.121,85.545
1300,225.952,56.858,184.481,86.101
1400,225.291,57.249,183.841,86.658
1500,224.631,57.644,183.201,87.215
1600,223.973,58.043,182.561,87.772
1700,223.316,58.447,181.921,88.329
1800,222.661,58.854,181.28,88.886
1900,222.007,59.266,180.64,89.443
2000,221.354,59.682,294.574,90.0
2100,220.702,60.102,359.358,89.443
2200,220.052,60.526,358.717,88.887
2300,219.404,60.954,358.076,88.331
2400,218.756,61.385,357.435,87.776
2500,218.11,61.82,356.794,87.221
2600,217.466,62.26,356.152,86.666
2700,216.823,62.702,355.509,86.113
2800,216.181,63.149,354.867,85.56
2900,215.541,63.598,354.224,85.008
3000,214.902,64.052,353.58,84.456
