name,lat,lon,type
"Woodgarston ring motte",51.291833,-1.163108,scheduled_monument
"Berisbury camp near Hampshire Gate",51.285784,-1.533730,scheduled_monument
"Old Pound Copse earthwork",51.199697,-1.434154,scheduled_monument
"Ellisfield camp W of Upper Common",51.203757,-1.100192,scheduled_monument
"Barley Pound earthworks",51.213905,-0.861184,scheduled_monument
"Medstead camp in grounds of manor house",51.132039,-1.062827,scheduled_monument
"Roman earthworks on Stoner Hill, Ridge Hanger",51.020412,-0.980689,scheduled_monument
"Earthwork at Penley",51.206732,-0.890492,scheduled_monument
"The Castle",50.889702,-0.958976,scheduled_monument
"Pyotts Hill entrenchment",51.290666,-1.047943,scheduled_monument
"Town wall: Gods House Gate and Tower",50.896367,-1.402758,scheduled_monument
"Town wall: section from Bargate E and including Polymond Tower",50.902581,-1.402735,scheduled_monument
"Town wall: section from 75yds (70m) E of Arundel Tower to limit of castle site including Arundel and Catchcold Towers",50.901986,-1.406028,scheduled_monument
"Town wall: section between Simnal Street and the site of the Bugle Tower excluding the West Gate",50.899454,-1.406771,scheduled_monument
"Town wall: the West Gate",50.898960,-1.406991,scheduled_monument
"Town wall: the Bar Gate",50.902687,-1.404127,scheduled_monument
"Town wall: remains of E side of town wall S of East Street and N of Gods House Tower",50.897140,-1.402677,scheduled_monument
"Town wall: the Water Gate, High Street",50.896772,-1.404502,scheduled_monument
"Town wall: section between Bugle Street and Bugle Tower",50.897772,-1.406693,scheduled_monument
"The 'Undercroft', Simnel Street",50.900123,-1.405724,scheduled_monument
"Canute's Palace, Porters Lane",50.896971,-1.404869,scheduled_monument
"The Tudor House, St Michael's Square",50.899514,-1.406145,scheduled_monument
"The West Gate",51.063536,-1.319069,scheduled_monument
"The Kings Gate",51.059157,-1.314410,scheduled_monument
"Hyde Abbey gateway",51.068498,-1.314015,scheduled_monument
"The Moat",51.133055,-1.484261,scheduled_monument
"The Ring earthwork",50.950966,-1.412693,scheduled_monument
"St Nicholas Chapel and deserted medieval village, Westbury",51.011422,-1.066015,scheduled_monument
"King John's House (or St John's House) in Warnford Park",50.999842,-1.113604,scheduled_monument
"Bulls Down camp",51.320598,-1.038757,scheduled_monument
"Tourner Bury, Hayling Island, South Hayling",50.793662,-0.963352,scheduled_monument
"Dunwood camp",51.006088,-1.555166,scheduled_monument
"Toot Hill camp",50.965896,-1.457946,scheduled_monument
"Holbury Wood camp",51.045365,-1.594304,scheduled_monument
"Danebury Hill camp",51.137371,-1.538084,scheduled_monument
"Tidbury Ring",51.183546,-1.339379,scheduled_monument
"Bury Hill camp",51.190278,-1.506719,scheduled_monument
"Quarley Hill camp",51.179632,-1.625874,scheduled_monument
"Remains of eastern wall of the Roman fort",53.474716,-2.253555,scheduled_monument
"Marple aqueduct",53.407246,-2.068764,scheduled_monument
"Oldknow's limekilns, Strines Road",53.392763,-2.057177,scheduled_monument
"Canal tunnel entrances and wharf",53.500947,-2.381266,scheduled_monument
"Ringley Old Bridge",53.543918,-2.358714,scheduled_monument
"Ellenroad Ring Mill",53.601224,-2.106858,scheduled_monument
"Winchester Castle",51.061844,-1.320221,scheduled_monument
"Netley Abbey",50.878580,-1.357145,scheduled_monument
"Basing House and the Grange Field",51.268686,-1.051895,scheduled_monument
"Godsfield Chapel",51.129540,-1.137777,scheduled_monument
"Hanwell flight of locks and brick boundary wall of St Bernard's Hospital",51.505010,-0.347002,scheduled_monument
"Fulham Palace moated site",51.470862,-0.214259,scheduled_monument
"Baynard's Castle, 78m south-west of St Benet Metropolitan Welsh Church",51.511400,-0.100323,scheduled_monument
"Elmers End moated site, South Norwood",51.397822,-0.054257,scheduled_monument
"Bonner Hall Bridge, Regent's Canal",51.533696,-0.049030,scheduled_monument
"Three Colt Bridge, Gunmaker's Lane",51.535931,-0.034241,scheduled_monument
"Parnell Road Bridge",51.538251,-0.029440,scheduled_monument
"Iron Age settlement on Horsenden Hill, Greenford",51.546237,-0.325851,scheduled_monument
"Medieval moated site, 454m south-west of Sudbury Golf Club House",51.544487,-0.316728,scheduled_monument
"Medieval moated site, 408m ENE of Highland's School",51.650441,-0.101989,scheduled_monument
"Romano-British masonry building and Saxon cemetery, Fordcroft, Orpington",51.388449,0.107100,scheduled_monument
"Romano-British site, Wickham Court Farm, West Wickham",51.365895,-0.008634,scheduled_monument
"Remains of St Pancras Church, Pancras Lane",51.513269,-0.091958,scheduled_monument
"The Augustinian Priory of St Mary at Merton, 271m ENE of Abbey Wall Works",51.414199,-0.181436,scheduled_monument
"Kempton Park Pumping Station",51.425832,-0.404692,scheduled_monument
"Northolt Manor, moated site",51.544226,-0.368223,scheduled_monument
"Roman riverboat, 136m west of Greenwood Theatre",51.502646,-0.087920,scheduled_monument
"Tower Hill West",51.508868,-0.078480,scheduled_monument
"Huggin Hill Roman bath house, 120m WNW of St James's Church",51.511490,-0.095347,scheduled_monument
"Priory and Hospital of St Mary Spital",51.519810,-0.077861,scheduled_monument
"Medieval moated manor house, 43m west of Cathay House",51.500109,-0.059369,scheduled_monument
"Abbey buildings, Bermondsey",51.497350,-0.080247,scheduled_monument
"Hall Place",51.447869,0.159271,scheduled_monument
"Howbury moated site",51.468394,0.198296,scheduled_monument
"Section of Roman road on Gidea Park golf course",51.590022,0.201218,scheduled_monument
"Dagnam Park Farm moated site, Noak Hill, Romford",51.611169,0.236617,scheduled_monument
"Flash Road aqueduct",51.677578,-0.087996,scheduled_monument
"Roman villa E of Beddington Park",51.375402,-0.136578,scheduled_monument
"Medieval grange barn, 228m south-east of Upminster Court",51.566814,0.256936,scheduled_monument
"Orpington Roman villa",51.373057,0.087772,scheduled_monument
"Structures of archaeological interest below Billingsgate Market",51.508914,-0.084055,scheduled_monument
"Queenhithe dock",51.510349,-0.095438,scheduled_monument
"Smiths' Wharf",51.510671,-0.095323,scheduled_monument
"Linear earthworks in Pear Wood, W of Watling Street",51.628981,-0.306306,scheduled_monument
"Roman governor's palace (site of)",51.510474,-0.089855,scheduled_monument
