name,lat,lon,source,type_raw,subtype,date_bp,gc_distance_km,cluster
Ile Kére Kére caves,-8.39209664,127.29034424,wikidata,archaeological_site,natural_cave,,1032.6,Other
KÃ¼mbet Lion Tomb,39.211359,30.607477,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1033.2,Other
Cueva del Llanos,28.65313,-13.90277,megalithic_portal,Cave or Rock Shelter,natural_cave,,1033.3,Other
Mazarakata Necropolis,38.1104188194,20.5504093599,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1033.3,Other
TzanÃ¡ta Mycenaean Tomb,38.142229,20.760391,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1033.5,Other
Trophonius oracle (Boeotia),38.4315641,22.8748924,pleiades,"shrine, cave",natural_cave,1980,1033.6,Other
KÃ¼mbet North Tomb,39.217575,30.60861,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1033.8,Other
Lene Hara cave,-8.40844179,127.29652405,wikidata,archaeological_site,natural_cave,,1033.9,Other
Gerdek Kaya,39.225727,30.697262,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1034.0,Other
Zorats Karer,39.5508494,46.0290659,pleiades,"tomb, monument",rock_cut_monumental,250,1035.0,Other
Chimirique,27.9586395,-15.6306,megalithic_portal,Cave or Rock Shelter,natural_cave,,1035.2,Other
Cuevas de Bandama,28.03518,-15.45718,megalithic_portal,Cave or Rock Shelter,natural_cave,,1035.6,Other
Jerimalai,-8.4,127.25,megalithic_portal,Cave or Rock Shelter,natural_cave,,1035.7,Other
Roque Bentaiga,27.99024,-15.63899,megalithic_portal,Cave or Rock Shelter,natural_cave,,1038.7,Other
Cuevas del Rey,27.99323,-15.65456,megalithic_portal,Cave or Rock Shelter,natural_cave,,1039.7,Other
Medina Yasmine Hammamet,36.36747,10.53339,wikidata,megalithic_monument,utilitarian,,1041.8,Other
Mesa de Acusa,28.0056096,-15.6807446,megalithic_portal,Cave or Rock Shelter,natural_cave,,1042.0,Other
Temple of Apollo at Delphi,38.4823167,22.5012215,pleiades,temple-2,utilitarian,2700,1044.5,Other
Drogaratis cave,38.22722222,20.62861111,wikidata,megalithic_monument,natural_cave,,1044.9,Other
Risco CaÃ­do,28.043558333333,-15.66125555555,megalithic_portal,Cave or Rock Shelter,natural_cave,,1045.0,Other
Rhion,38.388044,21.757727,pleiades,"unlocated, settlement, port",utilitarian,2500,1045.1,Other
Echetla,37.2327642,14.6240607,pleiades,settlement,utilitarian,2280,1045.3,Other
Sidlaphadi,15.9437339,75.7013393,megalithic_portal,Cave or Rock Shelter,natural_cave,,1047.1,Other
Archaeological area of Cueva de los Canarios,28.161661761,-15.434483432,wikidata,archaeological_site,natural_cave,,1047.3,Other
Tarti,38.975668,26.480975,pleiades,quarry,utilitarian,2500,1047.5,Other
