lat,lon,country,site_name,site_type,feature_type,n_dates
51.7667,4.1466,DE,"Gröna, Lettenbruch",single grave,single grave,4
52.6333,13.8167,DE,Gross Fredenwalde,,,11
53.723,12.042,DE,Groß Upahl,single grave,single grave,5
52.1325,10.7054,DE,"Groß Vahlberg """"Mühlenberg""""",enclosure,enclosure,22
51.6667,12.0667,DE,Groß Weißandt,single grave,single grave,12
49.8062,8.7989,DE,"Groß-Bieberau, Galgenberg",settlement,settlement,4
51.1167,11.3167,DE,Großbrembach,single grave,single grave,6
50.3,10.4167,DE,Großeibstadt I,non-megalithic chambered grave,non-megalithic chambered grave,5
51.55,9.15,DE,Großeneder,gallery grave,gallery grave,5
51.6687,9.9062,DE,Großenrode I,non-megalithic chambered grave,non-megalithic chambered grave,32
51.61,11.49,DE,Großörner,single grave,single grave,5
51.7333,4.1466,DE,"Großwirschleben, Galgenhügel",single grave,single grave,3
53.4716,9.5865,DE,Grundoldendorf I,passage grave,passage grave,2
51.1833,9.3667,DE,"Gudensberg, Bürgel",miscellaneous,miscellaneous,27
51.5333,9.3667,DE,"Gudensberg, Güntersberg",settlement,settlement,8
47.7092,8.977,DE,Gundholzen-MÃ¶Ã¶sle,,,8
51.0833,6.5833,DE,Gustorf,,,6
55.433,14.133,DE,Hagestad 7:3b,settlement,settlement,8
53.548,9.7213,DE,Hahnofersand,hahnofersa,hahnofersa,3
51.8958,11.0467,DE,Halberstadt,,,16
51.5167,11.9167,DE,"Halle, Dölauer Heide",collective grave,collective grave,37
48.5833,11.6667,DE,Hallertau,settlement,settlement,4
53.517,10.15,DE,Hamburg-Boberg,,,20
54.7667,9.3333,DE,Handewitt,b mou,b mou,14
48.1963,9.1567,DE,Harthausen Grave,,,6
52.2333,7.9333,DE,Hasbergen,single grave,single grave,4
50.9833,6.3833,DE,Hasselsweiler,settlement,settlement,12
51.8401,11.2723,DE,Hausneindorf,single grave,single grave,5
51.8594,4.5962,DE,Hedersleben,single grave,single grave,5
52.1122,7.1235,DE,Heek,single grave,single grave,47
47.708,9.087,DE,Hegne-Galgenacker,,,8
52.76,11.06,DE,Heidberg-Leetze,single grave,single grave,4
54.0345,10.4905,DE,Heidmoor,settlement,settlement,28
49.1404,9.1928,DE,Heilbronn,single grave,single grave,3
49.12,9.16,DE,"Heilbronn \""""Klingenberg\""""",enclosure,enclosure,110
49.16,9.2,DE,"Heilbronn-Neckargartach, Hetzenberg",enclosure,enclosure,24
49.1886,9.1954,DE,"Heilbronn-Neckargartach, Hetzenberg, Erdwerk",enclosure,enclosure,8
52.0624,10.5531,DE,"Heiningen FstNr.2, Erdwerk",enclosure,enclosure,8
51.5,11.5833,DE,Helfta,single grave,single grave,4
47.672,8.9677,DE,Hemmenhofen-im Bohl,,,12
48.0417,9.6273,DE,Henau Hof I,,,40
48.0419,9.6258,DE,Henau Hof Nord,,,16
