name,lat,lon,type,classification,gc_distance_km,source,department,province,district,ubigeo,code
Polig N 47,-8.428230228,-78.723635258,Sitio Arqueologico,site,790.33,MinCultura_BIP,,,,131201,
VV.106-3-14,-8.452528928333335,-78.77390093666668,Sitio Arqueologico,site,790.33,MinCultura_BIP,,,,131201,
Cerro Mirador,-8.16940392473684,-78.19214504736843,Sitio Arqueologico,site,790.34,MinCultura_BIP,,,,131001,
Cerro Castillo D,-8.46370423799993,-78.7973282649999,Sitio Arqueologico,site,790.35,INC_GeoGPSPeru,la libertad,virú,virú,,
VV.106-3-8,-8.451406458571428,-78.77256232142858,Sitio Arqueologico,site,790.38,MinCultura_BIP,,,,131201,
VV.106-3-6,-8.448022635000001,-78.7658613075,Sitio Arqueologico,site,790.39,MinCultura_BIP,,,,131201,
VV.93-3:2,-8.490190246666666,-78.85365736166666,Sitio Arqueologico,site,790.43,MinCultura_BIP,,,,131201,
VV.106-3-5,-8.446841178333333,-78.764499305,Sitio Arqueologico,site,790.45,MinCultura_BIP,,,,131201,
VV.106-3-9,-8.451776342307692,-78.77553112307693,Sitio Arqueologico,site,790.49,MinCultura_BIP,,,,131201,
Cerro Compositan A,-8.46093937499996,-78.7944982689999,Sitio Arqueologico,site,790.49,INC_GeoGPSPeru,la libertad,virú,virú,,
VV.106-3:4,-8.441201994,-78.75537689000001,Sitio Arqueologico,site,790.57,MinCultura_BIP,,,,131201,
VV.93-3:8,-8.486241852000001,-78.848687206,Sitio Arqueologico,site,790.58,MinCultura_BIP,,,,131201,
VV.93-3:9,-8.485081648,-78.847241818,Sitio Arqueologico,site,790.63,MinCultura_BIP,,,,131201,
VV.93-1:1A,-8.47427552125,-78.82588550750002,Sitio Arqueologico,site,790.68,MinCultura_BIP,,,,131201,
Cerro Castillo A,-8.46136049499996,-78.8000651469999,Sitio Arqueologico,site,790.72,INC_GeoGPSPeru,la libertad,virú,virú,,
Polig N 32,-8.464864888,-78.807848578,Sitio Arqueologico,site,790.74,MinCultura_BIP,,,,131201,
VV.94-1:1,-8.460137550689655,-78.79807673275863,Sitio Arqueologico,site,790.74,MinCultura_BIP,,,,131201,
Cerro Huacapongo,-8.15764490999994,-78.1762536229999,Sitio Arqueologico,monumental,790.74,INC_GeoGPSPeru,la libertad,santiago de chuco,santiago de chuco,,
VV.93-3:10,-8.484251488000002,-78.848085474,Sitio Arqueologico,site,790.75,MinCultura_BIP,,,,131201,
Cerro Castillo B,-8.46024490999993,-78.799390592,Sitio Arqueologico,site,790.8,INC_GeoGPSPeru,la libertad,virú,virú,,
VV.93-1:1B,-8.473160901666667,-78.826637405,Sitio Arqueologico,site,790.82,MinCultura_BIP,,,,131201,
Huaca Larga,-8.444077375844158,-78.76740365662336,Sitio Arqueologico,monumental,790.86,MinCultura_BIP,,,,131201,
VV.93-1:1C,-8.47200819888889,-78.82530367666666,Sitio Arqueologico,site,790.87,MinCultura_BIP,,,,131201,
VV.93-3:11,-8.483290208749999,-78.848836335,Sitio Arqueologico,site,790.89,MinCultura_BIP,,,,131201,
Castillo Huancaco,-8.45982019899991,-78.8010180549999,Sitio Arqueologico,site,790.92,INC_GeoGPSPeru,la libertad,virú,virú,,
VV.93-3:12,-8.482355911428572,-78.84854156428572,Sitio Arqueologico,site,790.96,MinCultura_BIP,,,,131201,
VV.93-3:14,-8.480991813333334,-78.84780030666667,Sitio Arqueologico,site,791.06,MinCultura_BIP,,,,131201,
HUACA DON ALFREDO,-8.435221290911358,-78.75343702615793,SITIO ARQUEOLOGICO,monumental,791.07,INGEMMET,,,,,ZA002905
VV.93-3:13,-8.48109491375,-78.8498063225,Sitio Arqueologico,site,791.15,MinCultura_BIP,,,,131201,
VV.93-3:15,-8.479836733333334,-78.847263485,Sitio Arqueologico,site,791.15,MinCultura_BIP,,,,131201,
VV.106-1:4,-8.43283173375,-78.75026598,Sitio Arqueologico,site,791.16,MinCultura_BIP,,,,131201,
VV.106-1:3,-8.432075069166666,-78.74906041833333,Sitio Arqueologico,site,791.17,MinCultura_BIP,,,,131201,
VV.93-3:3,-8.48163140909091,-78.85172805181818,Sitio Arqueologico,site,791.19,MinCultura_BIP,,,,131201,
VV.106-3:1,-8.442789037499999,-78.77198068499999,Sitio Arqueologico,site,791.21,MinCultura_BIP,,,,131201,
VV.93-3:16,-8.478929621666666,-78.84659753,Sitio Arqueologico,site,791.21,MinCultura_BIP,,,,131201,
VV.93-3:19,-8.479689386,-78.84854809199999,Sitio Arqueologico,site,791.23,MinCultura_BIP,,,,131201,
Chualluega 6,-8.081565794285714,-78.03170899,Zona Arqueologica,other,791.27,MinCultura_BIP,,,,131007,
VV.106-3:12,-8.440820242000001,-78.769065942,Sitio Arqueologico,site,791.27,MinCultura_BIP,,,,131201,
VV.106-1:2,-8.427709425217392,-78.74256052826087,Sitio Arqueologico,site,791.29,MinCultura_BIP,,,,131201,
VV.119-3:3,-8.394482584444445,-78.67401023333333,Sitio Arqueologico,site,791.29,MinCultura_BIP,,,,131201,
VV.105-2:13,-8.453358952857142,-78.79627336285714,Sitio Arqueologico,site,791.33,MinCultura_BIP,,,,131201,
VV.93-3:20,-8.478792346666667,-78.84964936833332,Sitio Arqueologico,site,791.37,MinCultura_BIP,,,,131201,
Sitio N° 42,-8.423915602222221,-78.73641263777778,Sitio Arqueologico,site,791.37,MinCultura_BIP,,,,131201,
Poza El Gato,-8.45142220099997,-78.7930090989999,Sitio Arqueologico,site,791.37,INC_GeoGPSPeru,la libertad,virú,virú,,
VV.105-2:15,-8.447126395,-78.7851107575,Sitio Arqueologico,site,791.41,MinCultura_BIP,,,,131201,
VV.105-2:14,-8.447873198,-78.786927838,Sitio Arqueologico,site,791.43,MinCultura_BIP,,,,131201,
VV.93-1:52,-8.474467173333332,-78.84204002666667,Sitio Arqueologico,site,791.44,MinCultura_BIP,,,,131201,
Cerro Huaydatape 3.,-8.13260894299992,-78.1394516239999,Sitio Arqueologico,site,791.44,INC_GeoGPSPeru,la libertad,santiago de chuco,santa cruz de chuca,,
VV.105-3:1,-8.455923493999999,-78.804318546,Sitio Arqueologico,site,791.47,MinCultura_BIP,,,,131201,
VV.93-1:55,-8.475156484,-78.844276082,Sitio Arqueologico,site,791.48,MinCultura_BIP,,,,131201,
VV.93-4:48,-8.476836166666667,-78.84882044166666,Sitio Arqueologico,site,791.53,MinCultura_BIP,,,,131201,
VV.93-4:57,-8.475172428333332,-78.84560583,Sitio Arqueologico,site,791.54,MinCultura_BIP,,,,131201,
Cuevas de Huacapongo,-8.14962630599996,-78.1762698499999,Sitio Arqueologico,monumental,791.54,INC_GeoGPSPeru,la libertad,santiago de chuco,santiago de chuco,,
VV.119-3:4,-8.390207822142859,-78.67071832214286,Sitio Arqueologico,site,791.56,MinCultura_BIP,,,,131201,
VV.93-1:56,-8.47422643,-78.844051632,Sitio Arqueologico,site,791.56,MinCultura_BIP,,,,131201,
VV.105-2:18,-8.443349213333333,-78.780461585,Sitio Arqueologico,site,791.57,MinCultura_BIP,,,,131201,
VV.105-2:7,-8.450587428,-78.796168746,Sitio Arqueologico,site,791.6,MinCultura_BIP,,,,131201,
VV.105-2:16,-8.444760536,-78.78403693800001,Sitio Arqueologico,site,791.6,MinCultura_BIP,,,,131201,
VV.105-3:2,-8.454516737999999,-78.804494878,Sitio Arqueologico,site,791.61,MinCultura_BIP,,,,131201,
Minas Blancas 3,-8.035969092857142,-77.94621399,Zona Arqueologica,other,791.64,MinCultura_BIP,,,,131008,
VV.93-4:47,-8.475483808,-78.84859003599999,Sitio Arqueologico,site,791.65,MinCultura_BIP,,,,131201,
