Longitude,Latitude,Database
-59.1055,-9.0507,Amazon Arch
-58.4527,-9.9663,Amazon Arch
-58.3285,-10.3927,Amazon Arch
-57.424,-9.1798,Amazon Arch
-59.74019999,-9.322000004,Amazon Arch
-59.75012074,-9.427265483,Amazon Arch
-59.7943,-9.5016,Amazon Arch
-59.8014,-9.486700002,Amazon Arch
-59.81215377,-9.506458833,Amazon Arch
-57.1729,-9.7239,Amazon Arch
-57.97328615,-9.797026403,Amazon Arch
-57.93740045,-10.16055156,Amazon Arch
-57.70100038,-9.227800174,Amazon Arch
-57.65109998,-9.658299959,Amazon Arch
-58.9042,-9.2813,Amazon Arch
-59.27969757,-9.440399485,Amazon Arch
-58.2266,-9.533,Amazon Arch
-59.78470036,-9.96059905,Amazon Arch
-59.80729837,-9.846801997,Amazon Arch
-59.0461,-9.5301,Amazon Arch
-60.20049962,-9.613899954,Amazon Arch
-58.0065,-9.5131,Amazon Arch
-58.427,-10.6544,Amazon Arch
-59.09874992,-9.30285001,Amazon Arch
-58.8564,-9.243,Amazon Arch
-58.1381,-9.2874,Amazon Arch
-59.0954,-9.6312,Amazon Arch
-58.8959,-9.3249,Amazon Arch
-76.7852927,-7.121742147,Amazon Arch
-62.391448,-11.894521,Amazon Arch
-67.21130176,-10.46671347,Amazon Arch
-68.16049647,-11.18454252,Amazon Arch
-67.58071583,-10.44997401,Amazon Arch
-67.11373174,-10.42855447,Amazon Arch
-68.13033067,-11.17189438,Amazon Arch
-67.55012696,-10.46788562,Amazon Arch
-67.60251382,-10.4655103,Amazon Arch
-67.29508885,-10.412586,Amazon Arch
-68.69871579,-11.05781173,Amazon Arch
-69.56721125,-10.86250166,Amazon Arch
-68.11733639,-10.13627781,Amazon Arch
-67.89865309,-9.34400937,Amazon Arch
-68.36828354,-10.68359183,Amazon Arch
-66.842202,-10.484066,Amazon Arch
-67.508894,-11.124625,Amazon Arch
-67.444162,-11.193609,Amazon Arch
-67.551021,-11.109442,Amazon Arch
-67.729961,-10.670924,Amazon Arch
-68.21483,-10.87176,Amazon Arch
-68.219243,-10.873989,Amazon Arch
-66.993269,-9.311389,Amazon Arch
-66.949266,-9.17824,Amazon Arch
-66.941798,-9.172433,Amazon Arch
-67.307435,-8.757048,Amazon Arch
-67.45013,-8.758057,Amazon Arch
-67.5072222222222,-10.025,CNSA
-68.1688136078248,-10.7020660689813,CNSA
-67.9169444444444,-9.69611111111111,CNSA
-67.7469444444444,-9.82777777777778,CNSA
-67.5913888888889,-9.9325,CNSA
-67.6730555555555,-9.93194444444444,CNSA
-68.0116666666667,-10.000975,CNSA
-67.6736111111111,-9.97888888888889,CNSA
-67.7141666666667,-10.3508333333333,CNSA
-67.6572222222222,-10.2083333333333,CNSA
-67.1769444444444,-10.2166666666667,CNSA
-67.6327777777778,-10.5238888888889,CNSA
-67.1583333333333,-10.2188888888889,CNSA
-68.3141944444444,-10.6699722222222,CNSA
-69.9258336031942,-9.35888975637039,CNSA
-67.22,-10.3069444444444,CNSA
-69.5325061729413,-10.9119507038863,CNSA
-68.9882796863794,-10.8535455627809,CNSA
-67.7952146466691,-10.3223722780984,CNSA
-67.5822227152395,-10.1483380273926,CNSA
-67.3503950941076,-9.90175474445278,CNSA
-67.6958313163397,-10.6077711647779,CNSA
-67.713077873507,-10.3913549764017,CNSA
-67.8850995888171,-10.6163841208234,CNSA
-67.309542395322,-10.0582122827791,CNSA
-67.2560794158271,-10.0337778111137,CNSA
-67.1421549150143,-10.0148169790179,CNSA
-67.1625173053525,-10.0154274158525,CNSA
-67.1896523209553,-9.99046241217196,CNSA
-67.0611551860679,-9.73203421484931,CNSA
-66.94788490349,-9.78428787898528,CNSA
-67.2712280566419,-10.0873235159206,CNSA
-67.3984267531256,-9.94372167039429,CNSA
-67.0699219284457,-9.74140395135925,CNSA
-66.8575889799421,-9.89004332714985,CNSA
-67.5361131055256,-9.76278291690083,CNSA
-67.2289365164565,-9.72665323810549,CNSA
-67.5978777806484,-10.4062613191598,CNSA
-67.1917523664888,-9.76634490626446,CNSA
-67.4226193447631,-10.0800351350359,CNSA
-67.5352513836366,-10.2681147050436,CNSA
-67.2322556932145,-9.8554447830414,CNSA
-67.1960313284676,-9.74854888196806,CNSA
-67.5460105467591,-10.0713336200887,CNSA
-67.0618534329355,-10.0605690418583,CNSA
-66.9844472402115,-9.91778293564922,CNSA
-66.999596287768,-9.91680698870006,CNSA
-69.1218487018764,-10.7573105158012,CNSA
-68.7233316686748,-9.10515075269215,CNSA
-67.2194496388719,-9.78167000271001,CNSA
-67.5308400026084,-10.3355632292712,CNSA
-68.958343430051,-10.7843464763584,CNSA
-68.4105599625243,-10.709449084283,CNSA
-68.2311191316611,-10.7638973345669,CNSA
-66.9427862865938,-10.1055603758028,CNSA
-66.9410056101302,-9.85636047130127,CNSA
-66.9577809685876,-10.105834465860699,CNSA
-66.9233401622957,-10.1166737067118,CNSA
-67.7055590178833,-9.74166764051839,CNSA
-67.5283414467723,-9.81167491843388,CNSA
-67.7477823004518,-9.81916690589689,CNSA
-67.6661138962904,-10.1716749770407,CNSA
-67.5386146388615,-9.95028574178913,CNSA
-67.1347302605085,-10.0197293206269,CNSA
-67.1036185054165,-10.0436172738596,CNSA
-67.9883399780346,-10.1691757182324,CNSA
-67.8566729705895,-10.169167574348,CNSA
-67.4200083074267,-10.184729422822,CNSA
-67.0535348870974,-9.79677875073339,CNSA
-67.1527122533715,-10.1976209710017,CNSA
-67.6657874879472,-10.2434502111804,CNSA
-67.5569513750049,-10.2983389342407,CNSA
-67.9436137213055,-9.91889341109276,CNSA
-67.7618109934734,-9.67915603241666,CNSA
-67.3802306197664,-10.2362676907457,CNSA
-67.9091681933229,-10.3047278555455,CNSA
-67.7138827960102,-9.56832546703675,CNSA
-67.2737179115731,-10.2184887539669,CNSA
-67.9569480380188,-10.0933413941242,CNSA
-67.9309949692735,-10.4653480312559,CNSA
-67.8991679018625,-10.5160417445883,CNSA
-67.2760537466287,-9.12053393808093,CNSA
-67.2791590869492,-9.12176016024831,CNSA
-67.253053710976,-8.84388485193443,CNSA
-67.6333369509128,-9.49305649125677,CNSA
-67.1719432993118,-8.88638706692618,CNSA
-66.9342136487112,-8.83172208501632,CNSA
-67.0764264794278,-8.82920591151075,CNSA
-67.3911248514474,-8.90304857240743,CNSA
-67.013213812128,-9.69858348563579,CNSA
-66.4194500941354,-9.7866672314396,CNSA
-66.4188922573214,-9.77278371454118,CNSA
-64.0232131378228,-9.06502150429678,CNSA
-65.7638836723412,-9.57104677832239,CNSA
-65.6964118800441,-9.63647808829731,CNSA
-62.3342312624167,-11.8927771275825,CNSA
-66.6375018055255,-9.79305308330098,CNSA
-66.6430597522118,-9.79305557386302,CNSA
-54.4756832,2.2440869,INRAP & DAC
-53.6550458,5.4099867,INRAP & DAC
-52.592462,3.9769501,INRAP & DAC
-53.5363006,3.4860728,INRAP & DAC
-53.8775755,3.8989151,INRAP & DAC
-53.8799671,3.8076483,INRAP & DAC
-51.735229,4.1667748,INRAP & DAC
-52.7991638,3.1200175,INRAP & DAC
-53.8573304,4.7392954,INRAP & DAC
-53.5469525,3.7602214,INRAP & DAC
-53.5007759,3.7308454,INRAP & DAC
-53.9712785,3.8118544,INRAP & DAC
-52.0447141,4.5058941,INRAP & DAC
-52.0897071,4.1405841,INRAP & DAC
-53.9359568,3.6714807,INRAP & DAC
-53.10744,3.0417536,INRAP & DAC
-52.3391547,3.1801298,INRAP & DAC
-53.0891316,3.8433894,INRAP & DAC
-52.0861533,4.0571468,INRAP & DAC
-52.070968,4.05443,INRAP & DAC
-52.4705161,3.1755186,INRAP & DAC
-53.5340906,3.7240976,INRAP & DAC
